,unnamed: 0,facility_name,adate,schdid,datetime,sum
0,19,18th_Douglas,2018-05-11 00:00:00,1,2018-05-11 09:00:00,76
1,313,47th_Green,2018-05-11 00:00:00,1,2018-05-11 21:00:00,10
2,553,69th_Street,2018-05-11 00:00:00,1,2018-05-11 02:00:00,12
3,655,79th_Street,2018-05-11 00:00:00,1,2018-05-11 23:30:00,37
4,877,Addison_Brown,2018-05-11 00:00:00,1,2018-05-11 19:30:00,18
5,1171,Ashland/Archer,2018-05-12 00:00:00,2,2018-05-12 00:00:00,5
6,1555,Berwyn,2018-05-11 00:00:00,1,2018-05-11 23:00:00,19
7,1813,Central_Lake,2018-05-11 00:00:00,1,2018-05-11 12:30:00,55
8,1993,Cermak/Chinatown,2018-05-12 00:00:00,2,2018-05-12 02:00:00,19
9,2149,Chicago_O'Hare,2018-05-11 00:00:00,1,2018-05-11 20:00:00,56
10,2329,Cicero_Douglas,2018-05-11 00:00:00,1,2018-05-11 22:30:00,14
11,2563,Clinton_Lake,2018-05-12 00:00:00,2,2018-05-12 04:30:00,6
12,2797,Damen_Congress,2018-05-11 00:00:00,1,2018-05-11 08:00:00,31
13,3079,DB Jackson-VanBuren,2018-05-11 00:00:00,1,2018-05-11 11:00:00,51
14,3223,DB Monroe-Adams,2018-05-12 00:00:00,2,2018-05-12 01:00:00,15
15,3445,Diversey_Brown,2018-05-12 00:00:00,2,2018-05-12 00:00:00,26
16,3535,ForestPark_Congress,2018-05-11 00:00:00,1,2018-05-11 11:00:00,69
17,3763,Garfield_Green,2018-05-11 00:00:00,1,2018-05-11 14:00:00,29
18,4003,Granville,2018-05-11 00:00:00,1,2018-05-11 19:00:00,70
19,4249,Harlem_Lake,2018-05-11 00:00:00,1,2018-05-11 00:30:00,12
20,4699,JeffersonPark,2018-05-11 00:00:00,1,2018-05-11 00:00:00,10
21,4843,Kedzie_Congress,2018-05-11 00:00:00,1,2018-05-11 13:30:00,50
22,140,35th_Archer,2018-05-11 00:00:00,1,2018-05-11 13:00:00,76
23,302,47th_Green,2018-05-11 00:00:00,1,2018-05-11 15:30:00,30
24,458,54th_Cermak_Douglas,2018-05-11 00:00:00,1,2018-05-11 12:00:00,35
