,rowname,facility_name,sort_all,station_id,station,branch_id,branch,line,facility_id
0,10,Lawrence,12.0,770,Lawrence,4,North Main,Red Line,157
1,34,69th_Street,41.0,990,69th,9,Dan Ryan,Red Line,1277
2,58,California_O'Hare,68.0,570,California/Milwaukee,6,O'Hare,Blue Line,63
3,82,Harlem_Congress,101.0,980,Harlem-Forest Park,1,Forest Park,Blue Line,52
4,106,Ashland_Lake,144.0,170,Ashland-Lake,2,Lake,Green Line,107
5,130,Southport_Brown,178.0,360,Southport,8,Brown,Brown Line,136
6,154,Thompson Center,209.0,380,Clark/Lake,3,Loop,Loop Elevated,5
7,11,Wilson,13.0,540,Wilson,4,North Main,Red Line,158
8,35,79th_Street,42.0,240,79th,9,Dan Ryan,Red Line,1276
9,59,Western_O'Hare,69.0,670,Western/Milwaukee,6,O'Hare,Blue Line,64
10,83,ForestPark_Congress,103.0,390,Forest Park,1,Forest Park,Blue Line,51
11,107,Morgan_Lake,145.0,1510,Morgan-Lake,2,Lake,Green Line,108
12,131,Wellington_Brown,179.0,1210,Wellington,8,Brown,Brown Line,135
13,9,Argyle,11.0,1200,Argyle,4,North Main,Red Line,156
14,33,63rd_Street,40.0,910,63rd-Dan Ryan,9,Dan Ryan,Red Line,1278
15,57,Logan_Square,66.0,1020,Logan Square,6,O'Hare,Blue Line,79
16,81,OakPark_Congress,99.0,180,Oak Park-Forest Park,1,Forest Park,Blue Line,53
17,105,California_Lake,143.0,1360,California-Lake,2,Lake,Green Line,106
18,129,Paulina_Brown,177.0,1310,Paulina,8,Brown,Brown Line,137
19,153,203 LaSalle,209.0,380,Clark/Lake,3,Loop,Loop Elevated,6
20,12,Sheridan,15.0,80,Sheridan,4,North Main,Red Line,159
21,36,87th_Street,44.0,1430,87th,9,Dan Ryan,Red Line,1275
22,60,Damen_O'Hare,72.0,590,Damen/Milwaukee,6,O'Hare,Blue Line,65
23,84,Polk_Douglas,104.0,1030,Polk,5,Cermak,Pink Line,8
24,108,Clinton_Lake,148.0,1160,Clinton-Lake,2,Lake,Green Line,2
25,132,Diversey_Brown,180.0,530,Diversey,8,Brown,Brown Line,134
26,15,Fullerton,18.0,1220,Fullerton,4,North Main,Red Line,162
27,39,Central_Purple,47.0,1250,Central-Evanston,12,Evanston,Purple Line,123
28,63,Grand_O'Hare,75.0,490,Grand/Milwaukee,6,O'Hare,Blue Line,68
29,87,Western_Douglas,108.0,740,Western-Cermak,5,Cermak,Pink Line,11
30,111,43rd_Green,153.0,1270,43rd,7,South Elevated,Green Line,112
31,135,Chicago_Brown,183.0,710,Chicago/Franklin,8,Brown,Brown Line,131
32,13,Addison_Red,16.0,1420,Addison-North Main,4,North Main,Red Line,160
33,37,95th_Street,45.0,450,95th/Dan Ryan,9,Dan Ryan,Red Line,1274
34,61,Division_O'Hare,73.0,320,Division/Milwaukee,6,O'Hare,Blue Line,66
35,85,18th_Douglas,105.0,830,18th,5,Cermak,Pink Line,9
36,109,35th_Tech,150.0,1120,35-Bronzeville-IIT,7,South Elevated,Green Line,95
37,133,Armitage_Brown,181.0,660,Armitage,8,Brown,Brown Line,133
38,14,Belmont_Red,17.0,1320,Belmont-North Main,4,North Main,Red Line,161
39,38,Linden_Purple,46.0,1050,Linden,12,Evanston,Purple Line,122
40,62,Chicago_O'Hare,74.0,1410,Chicago/Milwaukee,6,O'Hare,Blue Line,67
41,86,Damen_Douglas,106.0,210,Damen-Cermak,5,Cermak,Pink Line,10
42,110,Indiana_Green,152.0,300,Indiana,7,South Elevated,Green Line,111
43,134,Sedgwick_Brown,182.0,800,Sedgwick,8,Brown,Brown Line,132
44,16,North/Clybourn,19.0,650,North/Clybourn,4,North Main,Red Line,163
45,40,Noyes_Purple,48.0,400,Noyes,12,Evanston,Purple Line,124
46,64,DB Washington-Madison,76.0,370,Washington/Dearborn,11,Dearborn Subway,Blue Line,71
47,88,California_Douglas,110.0,440,California-Cermak,5,Cermak,Pink Line,12
48,112,47th_Green,154.0,1080,47th-South Elevated,7,South Elevated,Green Line,113
49,136,MerchandiseMart,184.0,460,Merchandise Mart,8,Brown,Brown Line,130
50,23,SS Monroe-Adams,28.0,1090,Monroe/State,10,State Subway,Red Line,171
51,47,Oakton,54.5,1680,Oakton-Skokie,13,Skokie,Yellow Line,121
52,71,Clinton_Congress,83.0,430,Clinton-Forest Park,1,Forest Park,Blue Line,49
53,95,Harlem_Lake,127.0,20,Harlem-Lake,2,Lake,Green Line,96
54,119,Cermak_Green,149.5,1690,Cermak-McCormick Place,7,South Elevated,Green Line,1764
55,143,Halsted_Orange,191.0,1130,Halsted-Orange,14,Orange,Orange Line,88
56,21,SS Randolph-Washington,23.0,1660,Lake/State,10,State Subway,Red Line,173
57,45,South Boulevard,53.0,840,South Boulevard,12,Evanston,Purple Line,129
58,69,DB Adams-Jackson,80.0,70,Jackson/Dearborn,11,Dearborn Subway,Blue Line,74
59,93,Cicero_Douglas,119.0,420,Cicero-Cermak,5,Cermak,Pink Line,17
60,117,Halsted_Green,165.0,940,Halsted/63rd,16,Ashland,Green Line,118
61,141,35th_Archer,189.0,120,35th/Archer,14,Orange,Orange Line,90
62,22,SS Madison-Monroe,28.0,1090,Monroe/State,10,State Subway,Red Line,172
63,46,Skokie,54.0,140,Dempster-Skokie,13,Skokie,Yellow Line,120
64,70,LaSalle_Congress,82.0,1340,LaSalle,11,Dearborn Subway,Blue Line,50
65,94,54th_Cermak_Douglas,123.0,580,54th/Cermak,5,Cermak,Pink Line,18
66,118,Ashland_Green,167.0,290,Ashland/63rd,16,Ashland,Green Line,119
67,142,Ashland/Archer,190.0,1060,Ashland-Orange,14,Orange,Orange Line,89
68,24,SS Jackson-VanBuren,29.0,560,Jackson/State,10,State Subway,Red Line,169
69,48,O'Hare,55.0,890,O'Hare Airport,6,O'Hare,Blue Line,80
70,72,Halsted_Congress,84.0,350,UIC-Halsted,1,Forest Park,Blue Line,61
71,96,OakPark_Lake,129.0,1350,Oak Park-Lake,2,Lake,Green Line,97
72,120,Kimball_Brown,168.0,1290,Kimball,8,Brown,Brown Line,146
73,144,Washington/Wells,194.0,730,Washington/Wells,3,Loop,Loop Elevated,4
74,19,Grand_Red,22.0,330,Grand/State,4,North Main,Red Line,166
75,43,Dempster,51.0,690,Dempster,12,Evanston,Purple Line,128
76,67,DB Madison-Monroe,79.0,790,Monroe/Dearborn,11,Dearborn Subway,Blue Line,72
77,91,Pulaski_Douglas,116.0,150,Pulaski-Cermak,5,Cermak,Pink Line,15
78,115,King_Green,159.0,1140,King Drive,15,East 63rd,Green Line,116
79,139,Kedzie_Orange,187.0,1150,Kedzie-Midway,14,Orange,Orange Line,92
80,17,Clark/Division,20.0,630,Clark/Division,4,North Main,Red Line,164
81,41,Foster_Purple,49.0,520,Foster,12,Evanston,Purple Line,125
82,65,DB Randolph-Washington,76.0,370,Washington/Dearborn,11,Dearborn Subway,Blue Line,70
83,89,Kedzie_Douglas,112.0,1040,Kedzie-Cermak,5,Cermak,Pink Line,13
84,113,51st_Green,155.0,130,51st,7,South Elevated,Green Line,114
85,137,Midway,185.0,930,Midway Airport,14,Orange,Orange Line,94
86,18,Chicago_Red,21.0,1450,Chicago/State,4,North Main,Red Line,165
87,42,Davis_Purple,50.0,50,Davis,12,Evanston,Purple Line,126
88,66,DB Monroe-Adams,79.0,790,Monroe/Dearborn,11,Dearborn Subway,Blue Line,73
89,90,CentralPark_Douglas,114.0,780,Central Park,5,Cermak,Pink Line,14
90,114,Garfield_Green,156.0,510,Garfield-South Elevated,7,South Elevated,Green Line,115
91,138,Pulaski_Orange,186.0,960,Pulaski-Orange,14,Orange,Orange Line,93
92,20,SS Lake-Randolph,23.0,1660,Lake/State,10,State Subway,Red Line,1
93,44,Main_Purple,52.0,270,Main,12,Evanston,Purple Line,127
94,68,DB Jackson-VanBuren,80.0,70,Jackson/Dearborn,11,Dearborn Subway,Blue Line,75
